     Interrupciones registradas:

  Fecha Inicial   |    Fecha Final   |   Duracion (mins:seg)  
__________________|__________________|________________________

21/06/11,15:05:03 - 06/07/11,13:49:56       21524:53
06/07/11,13:49:00 - 06/07/11,13:49:04       0:4
06/07/11,14:04:35 - 07/08/11,20:56:32       46491:57
07/08/11,22:22:19 - 07/08/11,22:57:57       35:38
03/02/11,19:51:17 - 03/02/11,20:00:18       9:1
10/03/11,23:51:15 - 10/03/11,23:51:57       0:42
15/03/11,08:15:39 - 15/03/11,08:20:57       5:18
28/03/11,23:04:14 - 28/03/11,23:28:12       23:58
02/05/11,06:56:43 - 02/05/11,07:09:37       12:54
02/05/11,07:09:00 - 02/05/11,07:13:32       4:32
02/05/11,07:13:00 - 02/05/11,07:16:38       3:38
02/05/11,07:17:02 - 02/05/11,07:19:06       2:4
02/05/11,07:20:34 - 02/05/11,07:37:00       16:26
02/05/11,07:39:05 - 02/05/11,07:49:47       10:42
03/05/11,14:18:00 - 03/05/11,14:19:03       1:3
24/05/11,10:52:04 - 24/05/11,10:59:15       7:11
24/05/11,13:08:11 - 24/05/11,13:09:45       1:34
25/05/11,08:54:17 - 21/06/11,15:02:33       39248:16
21/06/11,15:02:32 - 21/06/11,15:02:51       0:19
21/06/11,15:03:48 - 21/06/11,15:04:24       0:36
 
